               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.018946,            0.013502,          0.00062702,             0.97736,             0.97368,             0.99148,             0.85192,            0.014979,           0.0066228,          0.00012369,           0.0064181,           0.0064181,           0.0064181
                 142,            0.018599,            0.013535,           0.0005812,              0.9773,             0.97298,             0.99119,             0.85252,            0.014959,           0.0066279,          0.00012548,           0.0063764,           0.0063764,           0.0063764
                 143,            0.018379,            0.013344,          0.00058054,             0.97692,             0.97654,              0.9917,             0.85195,            0.014998,            0.006606,          0.00012278,           0.0063347,           0.0063347,           0.0063347
                 144,            0.018442,            0.013218,           0.0006012,              0.9731,             0.97899,             0.99192,             0.85357,            0.015015,           0.0065702,          0.00011944,            0.006293,            0.006293,            0.006293
                 145,            0.018528,            0.013273,           0.0005199,             0.97582,             0.97638,             0.99167,             0.85298,            0.014964,           0.0065527,          0.00011781,           0.0062512,           0.0062512,           0.0062512
                 146,            0.018353,            0.013256,           0.0005598,               0.973,             0.97756,              0.9916,             0.85106,            0.014959,           0.0065635,          0.00011941,           0.0062093,           0.0062093,           0.0062093
                 147,            0.018382,            0.013235,          0.00057359,              0.9739,             0.97621,             0.99133,             0.85328,            0.014889,            0.006564,          0.00011816,           0.0061675,           0.0061675,           0.0061675
                 148,            0.018245,            0.013203,          0.00057679,             0.97277,             0.97788,             0.99056,             0.85451,            0.014839,            0.006544,          0.00011756,           0.0061256,           0.0061256,           0.0061256
                 149,            0.018432,            0.013345,          0.00058548,             0.97505,             0.97494,             0.99028,             0.85428,            0.014744,           0.0065192,          0.00011572,           0.0060838,           0.0060838,           0.0060838
                 150,            0.018181,            0.013212,          0.00055961,             0.97213,             0.97533,             0.98991,             0.85581,            0.014647,             0.00649,          0.00011126,           0.0060419,           0.0060419,           0.0060419
                 151,            0.018038,            0.013157,          0.00061191,             0.97371,             0.97548,             0.99113,             0.85681,            0.014613,           0.0064536,          0.00011019,               0.006,               0.006,               0.006
                 152,            0.018102,            0.013069,          0.00048724,             0.97607,             0.97582,             0.99037,             0.85754,            0.014552,           0.0064158,          0.00010764,           0.0059581,           0.0059581,           0.0059581
